,ChEMBLTargetID,ModulatorCount
947,CHEMBL2111411,27
948,CHEMBL2111413,86
949,CHEMBL2111414,81
950,CHEMBL2111416,292
951,CHEMBL2111417,4
952,CHEMBL2111418,1
953,CHEMBL2111421,53
954,CHEMBL2111423,9
955,CHEMBL2111425,31
956,CHEMBL2111426,4
957,CHEMBL2111429,350
958,CHEMBL2111430,12
959,CHEMBL2111431,67
960,CHEMBL2111432,849
961,CHEMBL2111435,30
962,CHEMBL2111436,17
963,CHEMBL2111437,37
964,CHEMBL2111438,5
965,CHEMBL2111443,13
966,CHEMBL2111444,1
967,CHEMBL2111448,248
968,CHEMBL2111451,5
969,CHEMBL2111455,161
970,CHEMBL2111456,30
971,CHEMBL2111457,17
972,CHEMBL2111458,14
973,CHEMBL2111459,93
974,CHEMBL2111461,18
975,CHEMBL2111462,34
976,CHEMBL2111463,59
977,CHEMBL2111472,33
978,CHEMBL2116,60
979,CHEMBL2117,3
980,CHEMBL2118,19
981,CHEMBL212,17
982,CHEMBL2120,53
983,CHEMBL2121,60
984,CHEMBL2123,166
985,CHEMBL2127,368
986,CHEMBL213,1441
987,CHEMBL2131,17
988,CHEMBL2136,25
989,CHEMBL2139,2
990,CHEMBL214,5395
991,CHEMBL2140,495
992,CHEMBL2145,194
993,CHEMBL2146296,2
994,CHEMBL2146302,921
995,CHEMBL2146308,3
996,CHEMBL2146312,8
997,CHEMBL2146342,7
998,CHEMBL2146343,1
999,CHEMBL2146346,108
1000,CHEMBL2147,4530
1001,CHEMBL2148,3688
1002,CHEMBL215,2093
1003,CHEMBL2150837,140
